TaxonRank	TaxonName	AerobicStatus	Explanation
Genus	Odoribacter	obligate anaerobe	Genus definition
Genus	Olivibacter	obligate anaerobe	Genus definition
Genus	Oribacterium	obligate anaerobe	Genus definition
Genus	Paludibacter	obligate anaerobe	Genus definition
Genus	Parabacteroides	obligate anaerobe	Genus definition
Genus	Paracoccus	obligate anaerobe	Genus definition
Genus	Paraprevotella	obligate anaerobe	Genus definition
Genus	Patulibacter	aerobe	Genus definition
Genus	Pedobacter	obligate anaerobe	Genus definition
Genus	Peptoniphilus	obligate anaerobe	Genus definition
Genus	Photobacterium	facultative anaerobe	Genus definition
Genus	Polaromonas	aerobe	Genus definition
Genus	Porphyromonas	obligate anaerobe	Genus definition
Genus	Prevotella	obligate anaerobe	Genus definition
Genus	Propionibacterium	microaerobe or anaerobe	Genus definition
Genus	Pseudobutyrivibrio	obligate anaerobe	Genus definition
Genus	Pseudomonas	variable	Genus definition
Genus	Pseudoxanthomonas	aerobe	Genus definition
Genus	Psychrobacter	aerobe	Genus definition
Genus	Pyramidobacter	obligate anaerobe	Genus definition
Genus	Ralstonia	aerobe	Genus definition
Genus	Rikenella	obligate anaerobe	Genus definition
Genus	Roseburia	obligate anaerobe	Genus definition
Genus	Rothia	microaerobe or aerobe	Genus definition
Genus	Ruminococcus	obligate anaerobe	Genus definition
Genus	Schwartzia	obligate anaerobe	Genus definition
Genus	Sediminibacterium	obligate anaerobe	Genus definition
Genus	Shuttleworthia	obligate anaerobe	Genus definition
Genus	Slackia	obligate anaerobe	Genus definition
Genus	Sneathia	obligate anaerobe	Genus definition
Genus	Sphaerochaeta	obligate anaerobe	Genus definition
Genus	Sphingobium	aerobe	Genus definition
Genus	Sphingomonas	aerobe	Genus definition
Genus	Sphingopyxis	aerobe	Genus definition
Genus	Staphylococcus	facultative anaerobe	Genus definition
Genus	Streptococcus	facultative anaerobe	Genus definition
Genus	Succinivibrio	obligate anaerobe	Genus definition
Genus	Sulfuritalea	facultative anaerobe	Genus definition
Genus	Sutterella	microaerobe or anaerobe	Genus definition
Genus	Tannerella	obligate anaerobe	Genus definition
Genus	Tepidibacter	obligate anaerobe	Genus definition
Genus	Tepidimicrobium	obligate anaerobe	Genus definition
Genus	Tsukamurella	aerobe	Genus definition
Genus	Turicibacter	obligate anaerobe	Genus definition
Genus	Variovorax	aerobe	Genus definition
Genus	Veillonella	obligate anaerobe	Genus definition
Genus	Vibrio	facultative anaerobe	Genus definition
Genus	Wautersiella	aerobe	Genus definition
Genus	Wolbachia	intracellular	Genus definition
Kingdom	Unassigned	no taxonomic assignment	Special label
Order	Bacteroidales	obligate anaerobe	Inferred: Overwhelming majority of lower-level taxa detected were obligately anaerobic
Order	Pseudomonadales	aerobe	Order description
Order	Streptophyta	Streptophyta	Special label
