	PD_whole_tree
Drosophila.CLCD4.Gut.1.1	4.53861
Drosophila.CLCD6.Gut.1.1	4.1561
Drosophila.CLCD7.Gut.1.1	5.81651
Drosophila.CLCD9.Gut.1.1	4.28411
Drosophila.PSWD1_spring.Gut.1.1	4.07206
Drosophila.PSWD10_fall.Gut.1.1	6.70859
Drosophila.PSWD11_fall.Gut.1.1	4.9163
Drosophila.PSWD12_fall.Gut.1.1	7.33256
Drosophila.PSWD13_2016.Gut.1.1	6.78898
Drosophila.PSWD14_2016.Gut.1.1	16.98426
Drosophila.PSWD15_2016.Gut.1.1	4.94353
Drosophila.PSWD16_2016.Gut.1.1	2.37131
Drosophila.PSWD17_2016.Gut.1.1	6.51535
Drosophila.PSWD18_2016.Gut.1.1	5.15465
Drosophila.PSWD2_spring.Gut.1.1	6.61914
Drosophila.PSWD3_spring.Gut.1.1	4.24258
Drosophila.PSWD4_spring.Gut.1.1	5.49134
Drosophila.PSWD5_spring.Gut.1.1	16.30322
Drosophila.PSWD6_spring.Gut.1.1	5.73327
Drosophila.PSWD7_fall.Gut.1.1	2.75097
Drosophila.PSWD8_fall.Gut.1.1	12.69985
Drosophila.PSWD9_fall.Gut.1.1	7.26398
EagleOwl.0.Feces.1.1	9.12422
EagleOwl.2.Feces.1.1	27.99688
EagleOwl.3.Feces.1.1	24.92569
EasternChimpanzee.BIpts0054.Feces.1.1	125.7088
EasternChimpanzee.BIpts0055.Feces.1.1	235.83135
EasternChimpanzee.BIpts0093.Feces.1.1	238.10329
EasternChimpanzee.BIpts0097.Feces.1.1	145.13442
EasternChimpanzee.BIpts0246.Feces.1.1	71.94082
EasternChimpanzee.BIpts0248.Feces.1.1	78.13351
EasternChimpanzee.BIpts0257.Feces.1.1	106.26359
EasternChimpanzee.BIpts0260.Feces.1.1	89.75283
EasternChimpanzee.BIpts2414.Feces.1.1	224.14099
EasternChimpanzee.BIpts2415.Feces.1.1	90.01892
EasternChimpanzee.PApts0367.Feces.1.1	82.17631
EasternChimpanzee.PApts0368.Feces.1.1	97.90059
EasternChimpanzee.PApts0370.Feces.1.1	289.66326
EasternChimpanzee.PApts0456.Feces.1.1	4.5654
EasternChimpanzee.PApts1038.Feces.1.1	122.51056
EasternChimpanzee.PApts1039.Feces.1.1	148.66071
EasternChimpanzee.PApts1044.Feces.1.1	173.92229
EasternChimpanzee.PApts1049.Feces.1.1	257.20275
EasternChimpanzee.PApts1059.Feces.1.1	123.3012
EasternChimpanzee.PApts1065.Feces.1.1	210.18849
EasternChimpanzee.UBpts0439.Feces.1.1	222.40719
EasternChimpanzee.UBpts0445.Feces.1.1	113.30458
EasternChimpanzee.UBpts0599.Feces.1.1	246.44959
EasternChimpanzee.UBpts1430.Feces.1.1	160.59572
EasternChimpanzee.UBpts1435.Feces.1.1	171.31831
EasternChimpanzee.UBpts1446.Feces.1.1	122.31679
EasternChimpanzee.UBpts1452.Feces.1.1	109.95225
EasternChimpanzee.UBpts1454.Feces.1.1	152.80078
EasternChimpanzee.UBpts2037.Feces.1.1	160.86761
EasternChimpanzee.UBpts2041.Feces.1.1	92.80007
EnvironmentalControl.0.Control.1.1	3.2118
ExtractionBlank.Blank30.ExtractionBlank.1.1	3.63445
ExtractionBlank.1.ExtractionBlank.1.1	3.93697
ExtractionBlank.10.ExtractionBlank.1.1	2.7026
ExtractionBlank.11.ExtractionBlank.1.1	6.79782
ExtractionBlank.12.ExtractionBlank.1.1	5.0537
ExtractionBlank.13.ExtractionBlank.1.1	4.14691
ExtractionBlank.14.ExtractionBlank.1.1	67.82276
ExtractionBlank.15.ExtractionBlank.1.1	5.44033
ExtractionBlank.16.ExtractionBlank.1.1	27.82531
ExtractionBlank.17.ExtractionBlank.1.1	2.78563
ExtractionBlank.18.ExtractionBlank.1.1	5.51654
ExtractionBlank.19.ExtractionBlank.1.1	12.20863
ExtractionBlank.2.ExtractionBlank.1.1	1.94277
ExtractionBlank.20.ExtractionBlank.1.1	46.37345
ExtractionBlank.21.ExtractionBlank.1.1	17.26031
ExtractionBlank.22.ExtractionBlank.1.1	6.21817
ExtractionBlank.23.ExtractionBlank.1.1	69.24348
ExtractionBlank.24.ExtractionBlank.1.1	297.47551
